Kecamatan,Jumlah Penduduk,Luas Wilayah
Andir,99132,422
Antapani,78564,422
Arcamanik,76239,759
Astana Anyar,74078,268
Babakan Ciparay,138788,707
Bandung Kidul,59698,542
Bandung Kulon,132811,695
Bandung Wetan,28917,344
Batununggal,120900,482
Bojongloa Kaler,123467,312
Bojongloa Kidul,85639,520
Buahbatu,101022,746
Cibeunying Kaler,69783,464
Cibeunying Kidul,112903,414
Cibiru,72791,684
Cicendo,96008,779
Cidadap,53622,842
Cinambo,25101,425
Coblong,114163,731
Gedebage,40121,996
Kiaracondong,130075,580
Lengkong,71295,591
Mandalajati,70958,480
Panyileukan,39277,531
Rancasari,83428,701
Regol,80141,474
Sukajadi,101315,528
Sukasari,76942,636
Sumur Bandung,37061,349
Ujung Berung,86225,624
