No.,Kecamatan,Jumlah Kepala Rumah Tangga MBR,Jumlah Kepala Rumah Tangga Non MBR
1,Andir,3918,4036
2,Antapani,3920,2171
3,Arcamanik,237,418
4,Astanaanyar,1514,1554
5,Babakan Ciparay,6690,5192
6,Bandung Kidul,2760,2003
7,Bandung Kulon,2867,2596
8,Bandung Wetan,276,1659
9,Batununggal,2848,4837
10,Bojongloa Kaler,5551,4217
11,Bojongloa Kidul,2009,864
12,Buahbatu,2095,979
13,Cibeunying Kaler,536,734
14,Cibeunying Kidul,1320,2684
15,Cibiru,1258,1329
16,Cicendo,2758,5299
17,Cidadap,1936,1602
18,Cinambo,1141,1762
19,Coblong,1248,1785
20,Gedebage,729,868
21,Kiaracondong,8379,9580
22,Lengkong,1337,1722
23,Mandalajati,1276,2389
24,Panyileukan,495,296
25,Rancasari,699,655
26,Regol,2038,1571
27,Sukajadi,1655,2361
28,Sukasari,509,981
29,Sumur Bandung,1007,904
30,Ujungberung,1552,2274
