Kecamatan,Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerja Lainnya
Andir,18143,1740,683,33714,10,0,47,21295,170,978,22010
Antapani,14042,4767,930,23369,26,2,36,16661,398,2891,14368
Arcamanik,14423,3930,832,22437,48,3,34,16232,321,1794,14726
Astana Anyar,12717,1083,456,25348,11,1,21,15676,112,643,17628
Babakan Ciparay,26196,1586,585,45655,43,1,47,27661,224,897,34182
Bandung Kidul,11310,1795,405,18838,51,3,12,13109,214,878,12352
Bandung Kulon,25696,2010,937,44693,78,4,61,27829,201,1167,29166
Bandung Wetan,4792,827,325,9677,6,0,58,6096,198,670,6144
Batununggal,21656,3287,673,39991,20,0,13,25663,205,2049,26402
Bojongloa Kaler,20111,1155,550,34466,38,0,32,21628,161,681,24840
Bojongloa Kidul,11310,1795,405,18838,51,3,12,13109,214,878,12352
Buahbatu,17279,4865,912,30774,58,1,12,23129,333,2497,19601
Cibeunying Kaler,11210,2781,739,22295,20,2,11,15991,231,1662,14135
Cibeunying Kidul,21725,3976,915,35678,17,1,24,22582,243,2170,23809
Cibiru,13563,2382,868,22255,199,1,6,16143,120,890,15583
Cicendo,16884,2845,739,31706,7,0,79,19633,346,1366,21393
Cidadap,9568,1517,494,17169,35,0,35,10707,153,779,12554
Cinambo,4407,1280,226,8108,27,0,5,4913,59,344,5443
Coblong,20026,3498,952,37368,17,1,16,24309,312,2402,23436
Gedebage,8151,2138,438,11637,111,1,16,8580,129,772,7667
Kiaracondong,17232,2613,541,28396,27,3,12,18681,167,1549,20979
Lengkong,10682,3974,625,22142,21,1,25,16194,444,2009,14387
Mandalajati,13791,2080,514,22447,20,1,5,14246,125,898,15374
Panyileukan,6751,2620,482,11280,52,1,12,9117,114,877,7327
Rancasari,14656,4207,881,24945,125,2,18,18151,343,2635,16066
Regol,12957,2116,515,27102,16,1,31,17774,216,1239,17503
Sukajadi,18615,2787,839,32484,35,1,48,21232,468,1844,22431
Sukasari,13124,3291,1037,23730,70,1,20,16574,380,2049,15980
Sumur Bandung,6272,2149,208,11318,4,1,74,7996,171,536,7504
Ujung Berung,17103,3292,865,25313,184,2,31,18155,224,1494,17889
